country,iso3c,date,SPI.DIM2.1.INDEX,SPI.DIM2.2.INDEX,SPI.DIM2.4.INDEX,SPI.DIM3.1.INDEX,SPI.DIM3.2.INDEX,SPI.DIM3.3.INDEX,SPI.DIM3.4.INDEX,income,region,population
Norway,NOR,2019,1,0.767,1,0.757833333,0.782166667,1,0.5855,High income,Europe & Central Asia,5347896
Italy,ITA,2019,1,0.756,1,0.711166667,0.787166667,1,0.528,High income,Europe & Central Asia,60297396
Austria,AUT,2019,1,0.739,1,0.721666667,0.750666667,1,0.547,High income,Europe & Central Asia,8877067
Poland,POL,2019,1,0.853,1,0.678666667,0.7515,0.75,0.6025,High income,Europe & Central Asia,37970874
Slovenia,SVN,2019,1,0.908,1,0.7335,0.791333333,1,0.528,High income,Europe & Central Asia,2087946
United States,USA,2019,1,0.82,1,0.593,0.604833333,0.9445,0.5115,High income,North America,328239523
Spain,ESP,2019,1,0.726,1,0.6945,0.804166667,1,0.547,High income,Europe & Central Asia,47076781
Sweden,SWE,2019,1,0.846,1,0.712166667,0.7785,1,0.547,High income,Europe & Central Asia,10285453
Finland,FIN,2019,1,0.848,1,0.7035,0.787166667,1,0.547,High income,Europe & Central Asia,5520314
"Korea, Rep.",KOR,2019,1,0.802,1,0.691666667,0.8175,1,0.522,High income,East Asia & Pacific,51709098
Australia,AUS,2019,1,0.78,1,0.699666667,0.7545,1,0.5635,High income,East Asia & Pacific,25364307
Netherlands,NLD,2019,1,0.955,1,0.736,0.7595,0.6945,0.528,High income,Europe & Central Asia,17332850
Mexico,MEX,2019,1,0.788,1,0.907166667,0.8835,1,0.7735,Upper middle income,Latin America & Caribbean,127575529
Germany,DEU,2019,1,0.894,1,0.6965,0.748833333,0.75,0.6025,High income,Europe & Central Asia,83132799
Canada,CAN,2019,1,0.796,1,0.568333333,0.6775,0.5,0.5635,High income,North America,37589262
Ireland,IRL,2019,1,0.842,1,0.699166667,0.7615,1,0.547,High income,Europe & Central Asia,4941444
